ell,PP,PT,PE
1.890000000000000000e+02,5.808415979206724578e-08,1.536078292434577767e-04,-5.036233718047350915e-07
1.900000000000000000e+02,5.778657041439676947e-08,1.523773343262446484e-04,-4.896164161762922082e-07
1.910000000000000000e+02,5.749141879041824709e-08,1.511565250781689610e-04,-4.756099670189222871e-07
1.920000000000000000e+02,5.719871322094369969e-08,1.499453422156708012e-04,-4.616073069416037361e-07
1.930000000000000000e+02,5.690838076840371038e-08,1.487435477102704571e-04,-4.476111555166044716e-07
1.940000000000000000e+02,5.662043630327662641e-08,1.475510809470463450e-04,-4.336247778515724666e-07
1.950000000000000000e+02,5.633484737165756508e-08,1.463677400349727307e-04,-4.196510084005655131e-07
1.960000000000000000e+02,5.605155521169667308e-08,1.451933591569279705e-04,-4.056927969723981708e-07
1.970000000000000000e+02,5.577057412788084564e-08,1.440278412446554742e-04,-3.917532849119777678e-07
1.980000000000000000e+02,5.549185871063137967e-08,1.428710031138220339e-04,-3.778353698676164136e-07
1.990000000000000000e+02,5.521538350354951465e-08,1.417226794827008409e-04,-3.639420052957986049e-07
2.000000000000000000e+02,5.494112306144797696e-08,1.405827555482749218e-04,-3.500762750641513729e-07
2.010000000000000000e+02,5.466905314825882214e-08,1.394510874895528376e-04,-3.362405187289302153e-07
2.020000000000000000e+02,5.439916717282488346e-08,1.383276508546365353e-04,-3.224347126908410272e-07
2.030000000000000000e+02,5.413142116209571109e-08,1.372123934930746315e-04,-3.086581059226118646e-07
2.040000000000000000e+02,5.386582252260293397e-08,1.361053287489928437e-04,-2.949101001735127178e-07
2.050000000000000000e+02,5.360232755031246268e-08,1.350064050367743174e-04,-2.811899512409270600e-07
2.060000000000000000e+02,5.334093082697135423e-08,1.339156193696045894e-04,-2.674970230186954271e-07
2.070000000000000000e+02,5.308162669798906130e-08,1.328329682641816881e-04,-2.538306730658780900e-07
2.080000000000000000e+02,5.282437185491038629e-08,1.317584009674248389e-04,-2.401901673516648449e-07
2.090000000000000000e+02,5.256916072179990403e-08,1.306918986939170808e-04,-2.265748385250358575e-07
2.100000000000000000e+02,5.231597513671326708e-08,1.296334733594945430e-04,-2.129840697786685561e-07
2.110000000000000000e+02,5.206478465012246411e-08,1.285830750232355474e-04,-1.994171371709012706e-07
2.120000000000000000e+02,5.181560188771666839e-08,1.275407000433568215e-04,-1.858733957385181433e-07
2.130000000000000000e+02,5.156837191133334719e-08,1.265063293286935455e-04,-1.723521738364225883e-07
2.140000000000000000e+02,5.132309503695673858e-08,1.254799289530415341e-04,-1.588527811476750322e-07
2.150000000000000000e+02,5.107975314448067510e-08,1.244615096917169462e-04,-1.453745854951997799e-07
2.160000000000000000e+02,5.083832211752939328e-08,1.234509936908224892e-04,-1.319168483722194772e-07
2.170000000000000000e+02,5.059878393683573995e-08,1.224484209859417626e-04,-1.184789690720599036e-07
2.180000000000000000e+02,5.036113248769406148e-08,1.214537578411850469e-04,-1.050602593683542360e-07
2.190000000000000000e+02,5.012532591418216729e-08,1.204669710105418242e-04,-9.166003751412699276e-08
2.200000000000000000e+02,4.989136406473101563e-08,1.194880418761168507e-04,-7.827763748676294279e-08
2.210000000000000000e+02,4.965923473252032310e-08,1.185169658661612633e-04,-6.491240105525421367e-08
2.220000000000000000e+02,4.942889641249650091e-08,1.175537101288653697e-04,-5.156365156010642155e-08
2.230000000000000000e+02,4.920034291431015408e-08,1.165982560884862702e-04,-3.823072329639779998e-08
2.240000000000000000e+02,4.897355626654192876e-08,1.156505851823288149e-04,-2.491295065991697684e-08
2.250000000000000000e+02,4.874853002419240351e-08,1.147107060285455549e-04,-1.160967089522180480e-08
2.260000000000000000e+02,4.852522313659101870e-08,1.137785590086887790e-04,1.679790250735100029e-09
2.270000000000000000e+02,4.830362922425496831e-08,1.128541259316430303e-04,1.495609336375160061e-08
2.280000000000000000e+02,4.808373034135951439e-08,1.119374283837515360e-04,2.821990897026098227e-08
2.290000000000000000e+02,4.786550854832433849e-08,1.110283946257038405e-04,4.147189196529045035e-08
2.300000000000000000e+02,4.764895154287642544e-08,1.101270589879528258e-04,5.471272388403816502e-08
2.310000000000000000e+02,4.743402450436335388e-08,1.092333764900344769e-04,6.794306297833414647e-08
2.320000000000000000e+02,4.722073198587464403e-08,1.083473286775310718e-04,8.116357409645161647e-08
2.330000000000000000e+02,4.700903925437783458e-08,1.074688971086899282e-04,9.437492200053028694e-08
2.340000000000000000e+02,4.679892294354204426e-08,1.065980633543826920e-04,1.075777713681272971e-07
2.350000000000000000e+02,4.659037631072137393e-08,1.057347964735231492e-04,1.207727724879414942e-07
2.360000000000000000e+02,4.638338693999532585e-08,1.048791032122171982e-04,1.339606169221096870e-07
