ell,TT,EE,BB,TE
9.700000000000000000e+01,2.166623840193704837e+03,6.455957261101898936e-01,2.855569367838833687e-03,-1.517453064200569379e+01
9.800000000000000000e+01,2.188948574458861913e+03,6.586891459059950327e-01,2.915812832877716712e-03,-1.573196582320898251e+01
9.900000000000000000e+01,2.211525956022764149e+03,6.716654754287963991e-01,2.976751066025940060e-03,-1.629175589601905116e+01
1.000000000000000000e+02,2.234371100322344319e+03,6.845145378767619748e-01,3.038387751794186832e-03,-1.685343260598749993e+01
1.010000000000000000e+02,2.257476839187960650e+03,6.972231873559738835e-01,3.100726598829943795e-03,-1.741652773962385581e+01
1.020000000000000000e+02,2.280843434259993046e+03,7.097708518997289939e-01,3.163771341258904066e-03,-1.798079597663359408e+01
1.030000000000000000e+02,2.304456291939980019e+03,7.221592468962587663e-01,3.227525740067611112e-03,-1.854547205662232301e+01
1.040000000000000000e+02,2.328315676780000558e+03,7.343603766600107496e-01,3.291993585342497131e-03,-1.911023646635420548e+01
1.050000000000000000e+02,2.352414426407131941e+03,7.463685329029349225e-01,3.357178699027577734e-03,-1.967454688994945045e+01
1.060000000000000000e+02,2.376745379836189386e+03,7.581705813497868762e-01,3.423084937787767863e-03,-2.023778677760092748e+01
1.070000000000000000e+02,2.401301377420082645e+03,7.697608184507196416e-01,3.489716196806087398e-03,-2.079956248128436513e+01
1.080000000000000000e+02,2.426067832438471214e+03,7.811186863389263380e-01,3.557076413847220543e-03,-2.135933183893140352e+01
1.090000000000000000e+02,2.451052444427052251e+03,7.922384862361646629e-01,3.625169573603211938e-03,-2.191647845959956342e+01
1.100000000000000000e+02,2.476240628994613871e+03,8.030996650523123392e-01,3.693999712264394060e-03,-2.247060885912804551e+01
1.110000000000000000e+02,2.501625327826403463e+03,8.136965327515109925e-01,3.763570922308496439e-03,-2.302125527625824120e+01
1.120000000000000000e+02,2.527207298663914116e+03,8.240234175498784008e-01,3.833887357577180337e-03,-2.356772695275055085e+01
1.130000000000000000e+02,2.552979968422561797e+03,8.340597972972489949e-01,3.904953237886552974e-03,-2.410970455742922169e+01
1.140000000000000000e+02,2.578936764739920818e+03,8.437925805425599002e-01,3.976772854293535164e-03,-2.464657168766727935e+01
1.150000000000000000e+02,2.605071115862289844e+03,8.532235348635857086e-01,4.049350573713354773e-03,-2.517786057187642612e+01
1.160000000000000000e+02,2.631383878878869382e+03,8.623395734406240631e-01,4.122690843689315494e-03,-2.570310350392933074e+01
1.170000000000000000e+02,2.657868482903919357e+03,8.711201833776744952e-01,4.196798196134362939e-03,-2.622175856103211089e+01
1.180000000000000000e+02,2.684510928959490229e+03,8.795671390688722946e-01,4.271677251647741473e-03,-2.673328388854483251e+01
1.190000000000000000e+02,2.711312074910366391e+03,8.876673604087902403e-01,4.347332722678346612e-03,-2.723728626824263443e+01
1.200000000000000000e+02,2.738265350300321188e+03,8.954151977996853695e-01,4.423769416584171811e-03,-2.773322398549553114e+01
1.210000000000000000e+02,2.765364184593518530e+03,9.027975754032870892e-01,4.500992237638377393e-03,-2.822055539739202956e+01
1.220000000000000000e+02,2.792594578720867503e+03,9.098088477888774950e-01,4.579006188386202519e-03,-2.869888750078708739e+01
1.230000000000000000e+02,2.819957390034080163e+03,9.164433715255156931e-01,4.657816370661508817e-03,-2.916767879925515672e+01
1.240000000000000000e+02,2.847446047166125481e+03,9.226880767700620378e-01,4.737427985286446833e-03,-2.962638787097378312e+01
1.250000000000000000e+02,2.875046549951459383e+03,9.285447522513569085e-01,4.817846331035996119e-03,-3.007462193651890558e+01
1.260000000000000000e+02,2.902759754407066339e+03,9.340003317979171937e-01,4.899076802705802473e-03,-3.051191400905548079e+01
1.270000000000000000e+02,2.930571659272764009e+03,9.390566076630816328e-01,4.981124888068626418e-03,-3.093772289493977112e+01
1.280000000000000000e+02,2.958475691015128632e+03,9.437005170433527823e-01,5.063996163948642285e-03,-3.135165604473002787e+01
1.290000000000000000e+02,2.986472703793276651e+03,9.479338553943496004e-01,5.147696290995548186e-03,-3.175324670308003405e+01
1.300000000000000000e+02,3.014548694387125579e+03,9.517435629401055364e-01,5.232231007431209675e-03,-3.214195390903527993e+01
1.310000000000000000e+02,3.042689696796781845e+03,9.551313877322525903e-01,5.317606122937911482e-03,-3.251738419575639227e+01
1.320000000000000000e+02,3.070904181018531744e+03,9.580988781136228205e-01,5.403827508378044459e-03,-3.287906528717203969e+01
1.330000000000000000e+02,3.099170940895945023e+03,9.606326766519986959e-01,5.490901087702738589e-03,-3.322659811787217166e+01
1.340000000000000000e+02,3.127491054701193207e+03,9.627491403802912462e-01,5.578832827304515407e-03,-3.355943513343040507e+01
1.350000000000000000e+02,3.155850743433944899e+03,9.644274855324042051e-01,5.667628724220052060e-03,-3.387732599116279886e+01
1.360000000000000000e+02,3.184251084286803689e+03,9.656766425786307284e-01,5.757294793995919834e-03,-3.417964900823572094e+01
1.370000000000000000e+02,3.212678297322727303e+03,9.664906860038953162e-01,5.847837056774297763e-03,-3.446600542920265298e+01
1.380000000000000000e+02,3.241126030617767810e+03,9.668785475836909615e-01,5.939261523134292328e-03,-3.473607085840275488e+01
1.390000000000000000e+02,3.269580503665557444e+03,9.668343028540830053e-01,6.031574178959179557e-03,-3.498944669224701443e+01
1.400000000000000000e+02,3.298050220895628627e+03,9.663594560297623648e-01,6.124780969260601275e-03,-3.522573440190034688e+01
1.410000000000000000e+02,3.326513973350487959e+03,9.654703682173417789e-01,6.218887781688136294e-03,-3.544460981585393000e+01
1.420000000000000000e+02,3.354965408926549117e+03,9.641536871735419956e-01,6.313900429013715940e-03,-3.564560026837930451e+01
1.430000000000000000e+02,3.383405604172899530e+03,9.624183456126859104e-01,6.409824631370837286e-03,-3.582845601589653484e+01
1.440000000000000000e+02,3.411813351047776450e+03,9.602732760080654462e-01,6.506665998142800202e-03,-3.599277881821407021e+01
1.450000000000000000e+02,3.440189727184802450e+03,9.577125537405376532e-01,6.604430009110370120e-03,-3.613809622068286131e+01
1.460000000000000000e+02,3.468506097611963014e+03,9.547525386948066961e-01,6.703121996131709490e-03,-3.626423297026293824e+01
1.470000000000000000e+02,3.496756113378703049e+03,9.514021617014033483e-01,6.802747123578510753e-03,-3.637064246246085020e+01
1.480000000000000000e+02,3.524925998333525513e+03,9.476629243755397836e-01,6.903310369841033842e-03,-3.645707529122141466e+01
1.490000000000000000e+02,3.553001977654627353e+03,9.435437556539184589e-01,7.004816508572573458e-03,-3.652313354619514740e+01
1.500000000000000000e+02,3.580970278030626559e+03,9.390535832783585279e-01,7.107270089814232174e-03,-3.656841937794266073e+01
1.510000000000000000e+02,3.608809506325719667e+03,9.342011258956276487e-01,7.210675421931714117e-03,-3.659267896630206707e+01
1.520000000000000000e+02,3.636527212015383157e+03,9.289942696934238020e-01,7.315036553491649669e-03,-3.659564016115512430e+01
1.530000000000000000e+02,3.664108468399932008e+03,9.234481197693226173e-01,7.420357256262735679e-03,-3.657702627067732237e+01
1.540000000000000000e+02,3.691553207687181384e+03,9.175777793355449630e-01,7.526641008507449666e-03,-3.653670922301035517e+01
1.550000000000000000e+02,3.718853936101990712e+03,9.113834928406767677e-01,7.633890978881651031e-03,-3.647433814659687101e+01
1.560000000000000000e+02,3.746018019088959591e+03,9.048877875410435978e-01,7.742110011431474655e-03,-3.638978506898511256e+01
1.570000000000000000e+02,3.773023111353246350e+03,8.980909032178401308e-01,7.851300611343668689e-03,-3.628277349705250288e+01
1.580000000000000000e+02,3.799876583794005001e+03,8.910227904458802861e-01,7.961464931836366443e-03,-3.615310126519994327e+01
1.590000000000000000e+02,3.826563525172082336e+03,8.836836836069478229e-01,8.072604762457578562e-03,-3.600056624949052519e+01
1.600000000000000000e+02,3.853076455617395823e+03,8.760960991569382017e-01,8.184721517343234928e-03,-3.582504064875180916e+01
1.610000000000000000e+02,3.879393041670562070e+03,8.682751220379428814e-01,8.297816226017230498e-03,-3.562624813163003523e+01
1.620000000000000000e+02,3.905505809761458295e+03,8.602358338414164418e-01,8.411889524825313935e-03,-3.540413525162979624e+01
1.630000000000000000e+02,3.931407289570728608e+03,8.520081693211666307e-01,8.526941649484144972e-03,-3.515835146009252554e+01
