ell,PP,PT,PE
1.710000000000000000e+02,6.375172712003317432e-08,1.771061380050769382e-04,-8.007437723520496373e-07
1.720000000000000000e+02,6.340700796167788276e-08,1.756656129010621570e-04,-7.876448752469416888e-07
1.730000000000000000e+02,6.306513063126006312e-08,1.742381392234900307e-04,-7.744622193300155940e-07
1.740000000000000000e+02,6.272608593985186908e-08,1.728234373776964879e-04,-7.611979326374726842e-07
1.750000000000000000e+02,6.238985704794276848e-08,1.714212683817904759e-04,-7.478543193284055396e-07
1.760000000000000000e+02,6.205640493436865463e-08,1.700313520776683288e-04,-7.344337706457221307e-07
1.770000000000000000e+02,6.172569049633925123e-08,1.686534704532408979e-04,-7.209400413824568018e-07
1.780000000000000000e+02,6.139771827703745244e-08,1.672875260652113437e-04,-7.073776769943652351e-07
1.790000000000000000e+02,6.107244902839008938e-08,1.659333215336465759e-04,-6.937507926144574359e-07
1.800000000000000000e+02,6.074984382371576897e-08,1.645906997358107925e-04,-6.800636760000621610e-07
1.810000000000000000e+02,6.042990680060502890e-08,1.632595229117413495e-04,-6.663206927101887089e-07
1.820000000000000000e+02,6.011258481494122809e-08,1.619395953008583272e-04,-6.525259693869967235e-07
1.830000000000000000e+02,5.979786763682410357e-08,1.606307984120946425e-04,-6.386839468369793208e-07
1.840000000000000000e+02,5.948573774321151636e-08,1.593329749040905735e-04,-6.247989041197558253e-07
1.850000000000000000e+02,5.917615654675441731e-08,1.580459488122018974e-04,-6.108750471359570011e-07
1.860000000000000000e+02,5.886909270723081325e-08,1.567695448369178400e-04,-5.969165874781775030e-07
1.870000000000000000e+02,5.856454267009372845e-08,1.555036251103088718e-04,-5.829278803673325451e-07
1.880000000000000000e+02,5.826245436533076456e-08,1.542480329800170779e-04,-5.689132063137130646e-07
1.890000000000000000e+02,5.796283099682574074e-08,1.530026118487045239e-04,-5.548768450160553438e-07
1.900000000000000000e+02,5.766563440902342637e-08,1.517672231234889764e-04,-5.408231393473431708e-07
1.910000000000000000e+02,5.737082673849586805e-08,1.505416386584635107e-04,-5.267561132434521136e-07
1.920000000000000000e+02,5.707841754593370574e-08,1.493257916224559930e-04,-5.126803622578084521e-07
1.930000000000000000e+02,5.678833532379136352e-08,1.481194371680401268e-04,-4.985998581784089539e-07
1.940000000000000000e+02,5.650059618755049287e-08,1.469225071299994935e-04,-4.845191784976103461e-07
1.950000000000000000e+02,5.621516902728411747e-08,1.457347926568453641e-04,-4.704424215329461060e-07
1.960000000000000000e+02,5.593199648100567134e-08,1.445561208278561599e-04,-4.563738128630827001e-07
1.970000000000000000e+02,5.565109409734397439e-08,1.433863871709264895e-04,-4.423177933688507613e-07
1.980000000000000000e+02,5.537241783751240780e-08,1.422254014750880117e-04,-4.282785300160825968e-07
1.990000000000000000e+02,5.509594357315692475e-08,1.410729913603397468e-04,-4.142602514353225403e-07
2.000000000000000000e+02,5.482164718675851875e-08,1.399290346964838670e-04,-4.002673343409922116e-07
2.010000000000000000e+02,5.454950566038559092e-08,1.387933817430346279e-04,-3.863032049318500492e-07
2.020000000000000000e+02,5.427951315580161964e-08,1.376660066821543615e-04,-3.723681855241300901e-07
2.030000000000000000e+02,5.401162642818142229e-08,1.365468574089183092e-04,-3.584616651103539932e-07
2.040000000000000000e+02,5.374585349904941886e-08,1.354359469999352771e-04,-3.445832090700772324e-07
2.050000000000000000e+02,5.348215139228429154e-08,1.343332239171955657e-04,-3.307322132341072325e-07
2.060000000000000000e+02,5.322051533244452163e-08,1.332386849848749336e-04,-3.169081991721776860e-07
2.070000000000000000e+02,5.296094030731740453e-08,1.321523265289754531e-04,-3.031106820359461242e-07
2.080000000000000000e+02,5.270338373603203089e-08,1.310740978470593520e-04,-2.893390678532927052e-07
2.090000000000000000e+02,5.244784068467029321e-08,1.300039800451003669e-04,-2.755928410366958798e-07
2.100000000000000000e+02,5.219429366152943116e-08,1.289419847667113838e-04,-2.618715480945289882e-07
2.110000000000000000e+02,5.194271291594826070e-08,1.278880621245323990e-04,-2.481746051738449431e-07
2.120000000000000000e+02,5.169311167142488288e-08,1.268422082857585166e-04,-2.345015247704415132e-07
2.130000000000000000e+02,5.144543574608319477e-08,1.258044040497347546e-04,-2.208517868775157200e-07
2.140000000000000000e+02,5.119968608212120185e-08,1.247746154643709774e-04,-2.072248470717378196e-07
2.150000000000000000e+02,5.095584522869874028e-08,1.237528530291234698e-04,-1.936202362451408559e-07
2.160000000000000000e+02,5.071388975321312398e-08,1.227390391168810312e-04,-1.800373446438993751e-07
2.170000000000000000e+02,5.047380230548292438e-08,1.217332133189720598e-04,-1.664757459885215055e-07
2.180000000000000000e+02,5.023557741005958325e-08,1.207353418744241036e-04,-1.529348978914089334e-07
2.190000000000000000e+02,4.999917393895739188e-08,1.197453915137931596e-04,-1.394142644858976295e-07
2.200000000000000000e+02,4.976459236469929812e-08,1.187633435115408959e-04,-1.259133313098617849e-07
2.210000000000000000e+02,4.953182113361701447e-08,1.177891931021799235e-04,-1.124315973030138255e-07
2.220000000000000000e+02,4.930081946897729216e-08,1.168229074118582323e-04,-9.896853168094890779e-08
2.230000000000000000e+02,4.907158181859350476e-08,1.158644677574331835e-04,-8.552362025233655785e-08
2.240000000000000000e+02,4.884409087900877790e-08,1.149138554688849555e-04,-7.209634891144075447e-08
2.250000000000000000e+02,4.861834084227102878e-08,1.139710788819447827e-04,-5.868621753604797694e-08
2.260000000000000000e+02,4.839429138672921719e-08,1.130360785327263627e-04,-4.529268658168686645e-08
2.270000000000000000e+02,4.817193676982785514e-08,1.121088361240509413e-04,-3.191524695536345568e-08
2.280000000000000000e+02,4.795125971312004613e-08,1.111893728704665539e-04,-1.855339622571842962e-08
2.290000000000000000e+02,4.773224294426306972e-08,1.102776172794276067e-04,-5.206608746611746707e-09
2.300000000000000000e+02,4.751487481223835431e-08,1.093736032195130478e-04,8.125623464991853860e-09
2.310000000000000000e+02,4.729912121089289447e-08,1.084772857806685508e-04,2.144381833429055388e-08
2.320000000000000000e+02,4.708498729656826456e-08,1.075886464017759782e-04,3.474848931636337952e-08
2.330000000000000000e+02,4.687243905076227632e-08,1.067076665344552538e-04,4.804014979189267392e-08
2.340000000000000000e+02,4.666145379026903980e-08,1.058343276430233793e-04,6.131931306835548461e-08
2.350000000000000000e+02,4.645202540681053811e-08,1.049685987706699974e-04,7.458648354626582359e-08
2.360000000000000000e+02,4.624414213433705570e-08,1.041104863758641759e-04,8.784219048971065689e-08
