ell,TT_locked,EE_locked,BB_locked,TE_locked,TT_control,EE_control,BB_control,TE_control
138.0,3241.126030617768,0.9668785475836909,0.005939261523134292,-34.736070858402755,3778.486879184197,1.0658889563884388,0.005717910619467894,-41.69930699528718
139.0,3269.580503665557,0.966834302854083,0.006031574178959186,-34.989446692247014,3811.0414767301554,1.066495865814402,0.005806168905966084,-41.973307799994565
140.0,3298.0502208956286,0.9663594560297624,0.006124780969260619,-35.22573440190035,3843.538742255133,1.0666314235018424,0.005895279500389341,-42.22857259398747
141.0,3326.513973350488,0.9654703682173416,0.006218887781688138,-35.44460981585393,3875.957287535731,1.0663108244395199,0.005985248505018596,-42.464756711657394
142.0,3354.9654089265487,0.9641536871735422,0.00631390042901371,-35.645600268379305,3908.2905814906794,1.0655195504818868,0.0060760819614211,-42.68136699769114
143.0,3383.4056041728995,0.9624183456126861,0.006409824631370836,-35.828456015896535,3940.539521947144,1.0642653686608947,0.00616778583268767,-42.87813322336303
144.0,3411.8133510477765,0.9602732760080654,0.006506665998142789,-35.99277881821407,3972.682722362853,1.0625560459913708,0.006260365985300349,-43.05463666768684
145.0,3440.1897271848025,0.9577125537405377,0.00660443000911037,-36.13809622068286,4004.7210820563264,1.060384492623299,0.00635382817023034,-43.21038439947148
146.0,3468.506097611963,0.9547525386948067,0.006703121996131704,-36.26423297026294,4036.625787888549,1.0577659034414155,0.006448178004552688,-43.34518069327884
147.0,3496.756113378703,0.9514021617014032,0.006802747123578521,-36.37064246246085,4068.3903128517554,1.0547080445101147,0.006543420951788514,-43.45845847624311
148.0,3524.925998333525,0.9476629243755396,0.006903310369841039,-36.45707529122141,4100.00070280804,1.0512112529148168,0.0066395623032852475,-43.54994787783612
